flat_type,price,address,buildup_area,age_of_property,which_floor,furnishing,bedrooms,bathrooms,balcony,parking
3 BHK Flat,3.95,Kanjurmarg West,1550,3.0,50.0,Fully Furnished,3.0,2.0,1.0,yes
1 BHK Flat,0.19,Palghar,630,3.0,4.0,Unfurnished,1.0,1.0,2.0,yes
1 BHK Flat,0.73,Mira Road East,580,1.0,25.0,Semi Furnished,1.0,2.0,2.0,no
1 BHK Flat,1.1,Dahisar East,410,1.0,35.0,Semi Furnished,1.0,2.0,1.0,yes
3 BHK Flat,2.25,others,1052,1.0,26.0,Semi Furnished,3.0,2.0,3.0,yes
3 BHK Flat,2.75,others,841,1.0,20.0,Unfurnished,3.0,2.0,0.0,yes
2 BHK Flat,2.1,Kanjurmarg East,1150,1.0,50.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.1,Kanjurmarg West,1200,4.0,36.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,7.5,Byculla,2271,1.0,46.0,Unfurnished,3.0,3.0,1.0,yes
1 BHK Flat,1.0,Kurla West,505,1.0,14.0,Semi Furnished,1.0,1.0,0.0,yes
2 BHK Flat,2.1,Mulund West,805,2.0,38.0,Unfurnished,2.0,2.0,1.0,yes
2 BHK Flat,2.2,Mulund West,999,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,5.4,Sion,1100,3.0,40.0,Semi Furnished,3.0,2.0,2.0,yes
3 BHK Flat,4.45,Mulund West,1351,1.0,62.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,5.24,Mulund West,2450,1.0,62.0,Semi Furnished,3.0,3.0,1.0,yes
2 BHK Flat,2.8,Powai,1200,1.0,22.0,Unfurnished,2.0,1.0,0.0,yes
1 BHK Flat,1.2,Kanjurmarg West,489,1.0,36.0,Semi Furnished,1.0,2.0,0.0,yes
2 BHK Flat,2.04,Mulund West,778,5.0,58.0,Unfurnished,2.0,2.0,1.0,yes
2 BHK Flat,2.25,Mulund West,1044,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
4 BHK Flat,11.0,Lower Parel,2259,4.0,40.0,Unfurnished,4.0,3.0,3.0,yes
1 BHK Flat,0.66,Mira Road East,550,1.0,7.0,Semi Furnished,1.0,1.0,1.0,yes
2 BHK Flat,2.38,Borivali East,890,1.0,23.0,Unfurnished,2.0,2.0,2.0,yes
7 BHK Flat,7.5,Mulund West,6080,1.0,48.0,Unfurnished,7.0,5.0,2.0,yes
