flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
1 BHK Flat,1.95 Cr,"zia apartment, Nagpada, Madanpura, Mumbai",550 sq.ft,₹35.45 K/sq.ft,40 Year Old,Ready to move,Higherof 7 floors,Fully Furnished,,1.9 LacsAccess Zero Brokerage Properties,1.95 Cr,1,2,No Balcony,More than a month ago,No Parking,"This 1 BHK apartment is available for sale in Zia Apartment, one of the most prominent projects for flats in Mumbai central, Mumbai south. The flat is over 500 sq.ft. Carpet Area and comes with 1 bedroom(s), 2 bathrooms . This flat is situated on thRead More"
3 BHK Flat,6.5 Cr,"Salsette 27, Byculla East, Byculla, Mumbai",1550 sq.ft,₹41.94 K/sq.ft,2 Year Old,Ready to move,Higherof 71 floors,Unfurnished,,Salsette 27,6.5 LacsAccess Zero Brokerage Properties,1190 sq.ft,3,3,No Balcony,2 Covered Parking,"3BHK APARTMENT AVAILABLE FOR OUTRIGHT AT SALSETTE 27,BYCULLA EAST. APARTMENT COMES WITH 2 CAR PARKS, GET IN TOUCH WITH US TO KNOW MORE. DURGA REALTORS More About This Property 3 BHK Flat for sale in Byculla, Mumbai - contact now, for details about thRead More"
1 BHK Flat,1.1 Cr,"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",410 sq.ft,₹26.83 K/sq.ft,1 Years Old,Ready to move,Higherof 35 floors,Semi Furnished,,Chandak Nischay,1.1 LacsAccess Zero Brokerage Properties,368 sq.ft,1,2,1,2 Covered Parking,"Check out this 1 BHK Flat for sale in Dahisar East, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Dahisar East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is Read More"
2 BHK Flat,4.75 Cr,"Churchgate, Mumbai",905 sq.ft,₹52.49 K/sq.ft,40 Year Old,Ready to move,Middleof 16 floors,Semi Furnished,,Churchgate Mansion,4.8 LacsAccess Zero Brokerage Properties,760 sq.ft,2,2,No Balcony,1 Covered Parking,"This is a spacious 2 bhk in Churchgate Mansion bldg, the flat has an excellent open view with ample natural light throughout the flat. 1 car parking. 24x7 security with cctv inside the bldg premises. Vaastu compliant. Spot possession. Please call forRead More"
3 BHK Flat,10.0 Cr,"Shapoorji Pallonji Sterling Tower, Gamdevi, Mumbai",1796 sq.ft,₹55.68 K/sq.ft,15 Year Old,Ready to move,Lowerof 12 floors,,,Shapoorji Pallonji Sterling Tower,10.0 LacsAccess Zero Brokerage Properties,1796 sq.ft,3,3,No Balcony,1 Covered Parking,"Property Belongs to a well know personality. One of the famous building and well known personalities of the corporate world live here. Well maintained building, quite location. It's a duplex apartment. 

 More About This Property 3 BHK Flat for sale Read More"
3 BHK Flat,2.25 Cr,"Neelam Solstice Phase I, Nalanda Nagar, Ramabai Ambedkar Nagar, Mumbai",1052 sq.ft,₹21.39 K/sq.ft,1 Years Old,Ready to move,Lowerof 26 floors,Semi Furnished,,Neelam Solstice Phase I,2.1 LacsAccess Zero Brokerage Properties,915 sq.ft,3,2,3,1 Covered Parking,"Situated in ghatkopar east, central mumbai suburbs, neelam solstice is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in central mumbai suburbs is your opportunity to be a part of this community. ThiRead More"
3 BHK Flat,3.5 Cr,"Daffodils building, Deonar, Govandi, Mumbai",1250 sq.ft,₹28 K/sq.ft,15 Year Old,Ready to move,Middleof 15 floors,Fully Furnished,,3.5 Lacs(Negotiable)Access Zero Brokerage Properties,3.5 Cr,3,3,No Balcony,More than a month ago,2 Covered Parking,3BHK FULLY DONE UP FLAT WITH 3 ATTACHED WASHROOM AND A SEPERATE SERVANT ENTRANCE. ADVANCED LEVEL OF MOTION AND LIGHT SENSORS. ITALIAN MARBLE FLOORING. More About This Property Best 3 BHK Flat for modern-day lifestyle is now available for sale. Grab tRead More
1 BHK Flat,18.0 L,"vardhman nagar palghar, Haranwali, Palghar, Mumbai",630 sq.ft,₹2.86 K/sq.ft,5 Year Old,Ready to move,Higherof 4 floors,Semi Furnished,,No ChargeAccess Zero Brokerage Properties,18.0 L,1,1,2,10 days ago,1 Open Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Palghar. It is on floor 3 out of 4 floors. This Flat is available at a reasonable price of Rs 18.0 L. Maintenance charges in thisRead More"
2 BHK Flat,49.0 L,"Baria Yashwant Nagar, Yashavant Nagar, Virar West, Mumbai",970 sq.ft,₹5.05 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,,,Baria Yashwant Nagar,"75,000Access Zero Brokerage Properties",580 sq.ft,2,2,1,1 Open Parking,"A 2 BHK Flat for sale in Virar West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Virar West's most desired properties. Contact now for more information. This 2 BHK unit is on floor 7. There are 7 floors in Read More"
3 BHK Flat,2.5 Cr,"Nahalchand Laloochand Aryavarta, Nl Complex, Dahisar East, Mumbai",1100 sq.ft,₹22.73 K/sq.ft,4 Year Old,Ready to move,Lowerof 23 floors,Semi Furnished,,Nahalchand Laloochand Aryavarta,2.5 LacsAccess Zero Brokerage Properties,981 sq.ft,3,3,No Balcony,1 Covered and 1 Open Parking,"Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Dahisar East. It is on floor 4 out of 23 floors. This Flat is available at a reasonable price of Rs 2.5 Cr. The built up area of Read More"
