flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
2 BHK Flat,0.95,Mira Road East,1060,recent construction,Semi Furnished,2,2,0,yes
1 BHK Flat,0.93,Borivali East,525,mid age property,Semi Furnished,1,2,0,no
2 BHK Flat,1.48,Bhandup West,1065,new construction,Semi Furnished,2,2,1,yes
3 BHK Flat,2.5,Bhandup West,1150,recent construction,Semi Furnished,3,2,0,yes
1 BHK Flat,1.1,Wadala East,480,new construction,Unfurnished,1,2,0,yes
2 BHK Flat,1.1,Thane West,900,new construction,Semi Furnished,2,2,2,yes
1 BHK Flat,1.05,Bhandup West,725,recent construction,Semi Furnished,1,2,0,yes
3 BHK Flat,4.15,Goregaon East,3375,recent construction,Fully Furnished,3,3,3,yes
2 BHK Flat,2.4,Powai,1250,recent construction,Unfurnished,2,2,2,yes
2 BHK Flat,1.42,Borivali East,963,new construction,Unfurnished,2,2,0,yes
2 BHK Flat,2.5,Goregaon West,1125,new construction,Semi Furnished,2,2,3,yes
2 BHK Flat,1.62,Goregaon East,900,modern property,Semi Furnished,2,2,0,yes
2 BHK Flat,1.46,Bhandup West,1060,modern property,Semi Furnished,2,2,1,yes
1 BHK Flat,1.35,Kandivali West,550,recent construction,Semi Furnished,1,2,0,yes
3 BHK Flat,3.65,Powai,1500,new construction,Unfurnished,3,3,1,yes
2 BHK Flat,1.17,Kurla East,708,recent construction,Semi Furnished,2,2,0,yes
4 BHK Flat,9.5,Lower Parel,1900,new construction,Unfurnished,4,3,1,yes
1 BHK Flat,0.97,Vikhroli East,392,new construction,Semi Furnished,1,2,0,yes
1 BHK Flat,1.15,Kurla West,550,new construction,Semi Furnished,1,1,0,yes
3 BHK Flat,1.88,Kandivali West,1010,recent construction,Semi Furnished,3,2,0,yes
1 BHK Flat,0.6,Mira Road East,432,recent construction,Semi Furnished,1,1,2,no
4 BHK Flat,5.5,Chembur,1700,recent construction,Semi Furnished,4,3,3,yes
2 BHK Flat,1.7,Kandivali East,1050,recent construction,Semi Furnished,2,2,0,yes
3 BHK Flat,0.52,Nalasopara East,1080,recent construction,Semi Furnished,3,2,3,yes
3 BHK Flat,3.3,Parel,960,mid age property,Fully Furnished,3,1,0,yes
1 BHK Flat,0.3,Virar West,650,recent construction,Unfurnished,1,2,2,no
1 BHK Flat,1.7,Sion,616,recent construction,Semi Furnished,1,1,1,yes
1 BHK Flat,1.0,Malad West,490,recent construction,Semi Furnished,1,2,0,yes
3 BHK Flat,4.75,Sion,1670,recent construction,Semi Furnished,3,2,2,yes
3 BHK Flat,2.5,Kurla West,1300,new construction,Semi Furnished,3,3,0,yes
2 BHK Flat,0.49,Virar West,890,recent construction,Semi Furnished,2,2,0,yes
3 BHK Flat,6.8,Chembur,1579,recent construction,Semi Furnished,3,2,1,yes
2 BHK Flat,2.0,Mulund West,750,recent construction,Unfurnished,2,2,3,yes
2 BHK Flat,0.82,Mira Road East,995,new construction,Semi Furnished,2,2,3,yes
3 BHK Flat,4.3,Chembur,1300,recent construction,Semi Furnished,3,3,2,yes
2 BHK Flat,2.05,Andheri East,1100,recent construction,Semi Furnished,2,2,2,yes
1 BHK Flat,1.6,Lower Parel,590,new construction,Semi Furnished,1,1,1,yes
1 BHK Flat,1.35,Malad West,600,modern property,Fully Furnished,1,2,0,yes
2 BHK Flat,1.9,Wadala East,955,recent construction,Unfurnished,2,2,0,yes
3 BHK Flat,7.0,Khar West,1500,new construction,Semi Furnished,3,3,0,yes
3 BHK Flat,2.0,Borivali East,1000,recent construction,Unfurnished,3,3,0,yes
4 BHK Flat,7.1,Powai,2080,recent construction,Unfurnished,4,4,1,yes
1 BHK Flat,0.65,Mira Road East,650,recent construction,Unfurnished,1,2,3,yes
2 BHK Flat,0.5,Naigaon East,775,new construction,Unfurnished,2,1,3,yes
2 BHK Flat,1.75,Andheri East,1052,modern property,Fully Furnished,2,2,1,yes
1 BHK Flat,0.8,Kandivali West,650,recent construction,Unfurnished,1,2,0,yes
1 BHK Flat,1.4,Santacruz East,600,new construction,Unfurnished,1,2,0,yes
3 BHK Flat,4.2,Jogeshwari West,1450,modern property,Semi Furnished,3,3,0,yes
3 BHK Flat,4.15,Vile Parle East,1200,new construction,Semi Furnished,3,3,0,yes
3 BHK Flat,2.4,Kandivali East,1200,modern property,Fully Furnished,3,3,1,yes
4 BHK Flat,2.25,Kandivali East,2100,modern property,Semi Furnished,4,4,0,yes
1 BHK Flat,0.75,Mira Road East,515,recent construction,Unfurnished,1,2,2,yes
2 BHK Flat,2.15,Andheri West,600,recent construction,Unfurnished,2,2,0,yes
3 BHK Flat,3.75,Chembur,1260,recent construction,Unfurnished,3,3,4,yes
1 BHK Flat,0.29,Virar West,738,recent construction,Semi Furnished,1,1,2,yes
1 BHK Flat,1.23,Borivali West,750,new construction,Semi Furnished,1,1,0,no
1 BHK Flat,0.95,Borivali West,400,recent construction,Unfurnished,1,2,3,no
2 BHK Flat,2.05,Kandivali East,925,modern property,Unfurnished,2,2,0,yes
1 BHK Flat,0.28,Virar West,650,recent construction,Semi Furnished,1,2,2,yes
4 BHK Flat,13.5,Santacruz West,2100,modern property,Fully Furnished,4,4,2,yes
1 BHK Flat,0.35,Naigaon East,590,recent construction,Semi Furnished,1,2,2,yes
6 BHK Flat,13.5,Andheri West,2800,recent construction,Semi Furnished,6,2,0,yes
1 BHK Flat,1.15,Mulund East,500,modern property,Unfurnished,1,2,0,yes
1 BHK Flat,0.25,Naigaon East,500,recent construction,Unfurnished,1,1,3,yes
2 BHK Flat,1.9,Kanjurmarg East,1050,recent construction,Semi Furnished,2,2,1,yes
1 BHK Flat,0.33,Naigaon East,609,recent construction,Unfurnished,1,1,3,yes
2 BHK Flat,0.46,Virar West,750,new construction,Semi Furnished,2,2,3,no
4 BHK Flat,8.4,Goregaon East,1700,recent construction,Semi Furnished,4,5,1,yes
1 BHK Flat,0.59,Mira Road East,700,new construction,Semi Furnished,1,2,2,yes
1 BHK Flat,1.6,Govandi,650,recent construction,Semi Furnished,1,2,0,yes
1 BHK Flat,1.25,Jogeshwari East,410,new construction,Semi Furnished,1,2,2,yes
3 BHK Flat,3.35,Powai,1500,recent construction,Unfurnished,3,2,1,yes
2 BHK Flat,2.5,Kandivali East,1250,recent construction,Semi Furnished,2,2,3,yes
4 BHK Flat,4.79,Andheri West,1500,recent construction,Unfurnished,4,3,4,yes
3 BHK Flat,3.35,Kandivali East,1295,new construction,Unfurnished,3,2,1,yes
3 BHK Flat,5.75,Mahim,1250,modern property,Fully Furnished,3,3,0,yes
2 BHK Flat,0.65,Mira Road East,1000,modern property,Semi Furnished,2,2,3,yes
