location,flat_price,latitude,longitude
Agripada,3.783125,18.9697,72.8258
Andheri East,2.336536312849162,19.12,72.86
Andheri West,4.833765690376569,19.1297,72.8397
Anushakti Nagar,3.6166666666666667,19.0385,72.9186
Asalpha,0.6699999999999999,19.0987,72.8973
Bandra East,6.7866,19.0544,72.8402
Bandra West,9.587671232876712,19.0605,72.8326
Bhandup East,1.3642857142857143,19.1442,72.9378
Bhandup West,1.9475555555555557,19.144,72.938
Bhayandar East,0.8039655172413793,19.3063,72.8617
Bhayandar West,1.0582758620689656,19.2948,72.856
Boisar,0.3061111111111111,19.8055,72.7554
Borivali East,2.989426523297491,19.2311,72.8595
Borivali West,1.8966318537859006,19.23,72.837
Byculla,5.234400000000001,18.9783,72.8332
Chembur,2.6758103448275863,19.0627,72.895
Chinchpokli,1.5,18.9786,72.8321
Churchgate,12.22,18.934,72.8258
Colaba,7.8864705882352935,18.9067,72.8147
Cuffe Parade,9.452631578947368,18.9105,72.808
Cumballa Hill,16.228823529411763,18.9654,72.8093
Dadar East,5.577037037037036,19.0175,72.8424
Dadar West,4.781829268292683,19.021,72.8406
Dahisar East,1.27125,19.2497,72.8595
Dahisar West,1.645948275862069,19.2436,72.859
Dharamveer Nagar,2.4375,19.2198,72.9792
Fort,7.25,18.9322,72.8347
Gamdevi,6.875,18.9635,72.8131
Ghatkopar East,2.266138613861386,19.0886,72.9086
Ghatkopar West,2.604761904761905,19.0888,72.9087
Ghodbander,0.78,19.3063,72.8617
Girgaon,8.325,18.9542,72.8173
Goregaon East,2.890557491289199,19.1551,72.86
Goregaon West,2.949090909090909,19.1552,72.8491
Govandi,2.777111111111111,19.0512,72.9213
Jacob Circle,7.207142857142857,18.9782,72.8224
Jogeshwari East,4.236666666666666,19.135,72.8542
Jogeshwari West,2.0480645161290325,19.1327,72.8406
Juhu,9.567794871794872,19.0968,72.8266
Kalbadevi,3.4375,18.9463,72.8303
Kamathipura,4.486,18.9678,72.8281
Kandivali East,2.0665750528541227,19.2044,72.8595
Kandivali West,1.6216400000000002,19.2014,72.8357
Kanjurmarg East,2.0634,19.1253,72.935
Kanjurmarg West,2.0494827586206896,19.1253,72.9283
Khar East,0.85,19.0735,72.841
Khar West,8.094342105263157,19.0669,72.8338
Kurla East,1.5001666666666666,19.064,72.8798
Kurla West,1.8239215686274508,19.0595,72.8796
Lower Parel,7.755703703703704,18.9943,72.8245
Madanpura,2.2444444444444445,18.9722,72.8276
Madh,3.1444444444444444,19.1354,72.7758
Mahalakshmi,8.4375,18.9864,72.8184
Mahim,4.2700000000000005,19.04,72.8401
Makane Kapase,0.09,19.8653,72.7713
Malabar Hill,12.874285714285715,18.9537,72.8055
Malad East,2.6884684684684688,19.176,72.8527
Malad West,1.9057241379310343,19.1867,72.8351
Mankhurd,0.5833333333333334,19.0483,72.938
Marine Lines,5.906666666666666,18.9485,72.8234
Matunga East,5.186315789473684,19.0259,72.8574
Matunga West,3.8921428571428573,19.0269,72.8562
Mazgaon,2.749090909090909,18.9735,72.8408
Mira Road East,0.8796479647964797,19.285,72.8544
Mira Road West,0.85,19.2867,72.8533
Mulund East,1.748426966292135,19.1754,72.9506
Mulund West,2.4674047619047617,19.1737,72.9489
Mumbai Central,4.51,18.9713,72.8196
Nagpada,1.4,18.9695,72.8258
Naigaon East,0.3447777777777778,19.3692,72.8483
Naigaon West,0.3466666666666667,19.3866,72.831
Nalasopara East,0.4035714285714286,19.4234,72.8282
Nalasopara West,0.3316417910447761,19.4174,72.8231
Palghar,0.1775,19.696,72.7652
Parel,6.147524752475247,18.9938,72.8373
Powai,4.166527196652719,19.1177,72.9051
Prabhadevi,6.888941176470589,19.0167,72.8266
Ramabai Ambedkar Nagar,1.8619999999999997,19.1115,72.9364
Sakinaka,1.8533333333333333,19.0956,72.8975
Santacruz East,2.7410569105691054,19.0822,72.8472
Santacruz West,8.961445783132529,19.0822,72.8355
Saphale,0.225,19.5711,72.7332
Sewri,3.8285714285714287,18.9873,72.8567
Sion,3.8267407407407408,19.0385,72.862
Tardeo,9.616666666666667,18.976,72.8154
Thane West,0.8748529411764706,19.2183,72.9781
Trombay,2.84,19.0083,72.9027
Umerkhadi,1.5,18.9671,72.8353
Uttan,0.33,19.2611,72.7986
Vasai East,0.43605263157894736,19.3916,72.8498
Vasai West,0.6955769230769231,19.3852,72.8223
Vikhroli East,2.2544642857142856,19.1042,72.9293
Vikhroli West,2.3533333333333335,19.1065,72.9265
Vile Parle East,3.5050000000000003,19.099,72.851
Vile Parle West,7.048235294117647,19.1034,72.8358
Virar East,0.274,19.4488,72.8194
Virar West,0.41773638968481375,19.4559,72.8062
Wadala,4.489565217391305,19.0269,72.8675
Wadala East,2.698453608247423,19.0169,72.8702
Worli,11.561285714285713,19.0176,72.8301
