,flat_type,flat_price,location1,buildupArea_sqft,avg_price_thousands,age_of_property,new_age,which_floor,furnishing,bedrooms,bathrooms,balcony,parking
0,3 BHK Flat,3.95,Kanjurmarg West,1550,25480.0,3 Year Old,3,Higherof 50 floors,Fully Furnished,3,2,1.0,yes
1,1 BHK Flat,0.19,Palghar,630,3020.0,3 Year Old,3,Middleof 4 floors,Unfurnished,1,1,2.0,yes
2,1 BHK Flat,0.73,Mira Road East,580,12590.0,1 Years Old,1,Lowerof 25 floors,Semi Furnished,1,2,2.0,no
3,1 BHK Flat,1.1,Dahisar East,410,26830.0,1 Years Old,1,Higherof 35 floors,Semi Furnished,1,2,1.0,yes
4,3 BHK Flat,2.25,others,1052,21390.0,1 Years Old,1,Lowerof 26 floors,Semi Furnished,3,2,3.0,yes
5,3 BHK Flat,2.75,others,841,32700.000000000004,1 Years Old,1,Lowerof 20 floors,Unfurnished,3,2,0.0,yes
6,2 BHK Flat,2.1,Kanjurmarg East,1150,18260.0,1 Years Old,1,Middleof 50 floors,Semi Furnished,2,2,0.0,yes
7,2 BHK Flat,2.1,Kanjurmarg West,1200,17500.0,4 Year Old,4,Higherof 36 floors,Semi Furnished,2,2,0.0,yes
8,3 BHK Flat,7.5,Byculla,2271,33020.0,1 Years Old,1,Middleof 46 floors,Unfurnished,3,3,1.0,yes
9,1 BHK Flat,1.0,Kurla West,505,19800.0,1 Years Old,1,Lowerof 14 floors,Semi Furnished,1,1,0.0,yes
10,2 BHK Flat,2.1,Mulund West,805,26090.0,2 Year Old,2,Middleof 38 floors,Unfurnished,2,2,1.0,yes
11,2 BHK Flat,2.2,Mulund West,999,22020.0,unknown,unknown,unknown,,2,2,0.0,yes
12,3 BHK Flat,5.4,Sion,1100,49090.0,3 Year Old,3,Lowerof 40 floors,Semi Furnished,3,2,2.0,yes
13,3 BHK Flat,4.45,Mulund West,1351,32940.0,1 Years Old,1,Middleof 62 floors,Unfurnished,3,3,0.0,yes
14,3 BHK Flat,5.24,Mulund West,2450,21380.0,1 Years Old,1,Middleof 62 floors,Semi Furnished,3,3,1.0,yes
15,2 BHK Flat,2.8,Powai,1200,23330.0,1 Years Old,1,Middleof 22 floors,Unfurnished,2,1,0.0,yes
16,1 BHK Flat,1.2,Kanjurmarg West,489,24540.0,1 Years Old,1,Middleof 36 floors,Semi Furnished,1,2,0.0,yes
17,2 BHK Flat,2.04,Mulund West,778,26220.0,2 BHK,unknown,Higherof 58 floors,Unfurnished,2,2,1.0,yes
18,2 BHK Flat,2.25,Mulund West,1044,21550.0,unknown,unknown,unknown,,2,2,0.0,yes
19,4 BHK Flat,11.0,Lower Parel,2259,48690.0,4 Year Old,4,Lowerof 40 floors,Unfurnished,4,3,3.0,yes
20,1 BHK Flat,0.66,Mira Road East,550,12000.0,1 Years Old,1,Middleof 7 floors,,1,1,1.0,yes
21,2 BHK Flat,2.38,Borivali East,890,26740.0,1 Years Old,1,Middleof 23 floors,Unfurnished,2,2,2.0,yes
22,7 BHK Flat,7.5,Mulund West,6080,12340.0,1 Years Old,1,Higherof 48 floors,Unfurnished,7,5,2.0,yes
23,3 BHK Flat,2.15,Malad West,1300,16540.0,2 Year Old,2,Lowerof 23 floors,Unfurnished,3,3,0.0,yes
24,2 BHK Flat,2.0,Mulund West,796,25130.0,1 Years Old,1,Middleof 48 floors,Semi Furnished,2,2,1.0,yes
25,1 BHK Flat,0.38,Virar West,650,5850.0,4 Year Old,4,Middleof 14 floors,,1,1,2.0,yes
26,4 BHK Flat,3.85,Mulund West,1325,29060.0,1 Years Old,1,Lowerof 48 floors,Semi Furnished,4,3,1.0,yes
