flat_type,flat_price,location1,buildupArea_sqft,avg_price_thousands,age_of_property,floor_type,furnishing,bedrooms,bathrooms,balcony,parking
3 BHK Flat,3.95,Kanjurmarg West,1550,25480.0,recent construction,Higher,Fully Furnished,3,2,1,yes
1 BHK Flat,0.19,Palghar,630,3020.0,recent construction,Middle,Unfurnished,1,1,2,yes
1 BHK Flat,0.73,Mira Road East,580,12590.0,new construction,Lower,Semi Furnished,1,2,2,no
1 BHK Flat,1.1,Dahisar East,410,26830.0,new construction,Higher,Semi Furnished,1,2,1,yes
3 BHK Flat,2.25,others,1052,21390.0,new construction,Lower,Semi Furnished,3,2,3,yes
3 BHK Flat,2.75,others,841,32700.000000000004,new construction,Lower,Unfurnished,3,2,0,yes
2 BHK Flat,2.1,Kanjurmarg East,1150,18260.0,new construction,Middle,Semi Furnished,2,2,0,yes
2 BHK Flat,2.1,Kanjurmarg West,1200,17500.0,recent construction,Higher,Semi Furnished,2,2,0,yes
3 BHK Flat,7.5,Byculla,2271,33020.0,new construction,Middle,Unfurnished,3,3,1,yes
1 BHK Flat,1.0,Kurla West,505,19800.0,new construction,Lower,Semi Furnished,1,1,0,yes
2 BHK Flat,2.1,Mulund West,805,26090.0,new construction,Middle,Unfurnished,2,2,1,yes
3 BHK Flat,5.4,Sion,1100,49090.0,recent construction,Lower,Semi Furnished,3,2,2,yes
3 BHK Flat,4.45,Mulund West,1351,32940.0,new construction,Middle,Unfurnished,3,3,0,yes
3 BHK Flat,5.24,Mulund West,2450,21380.0,new construction,Middle,Semi Furnished,3,3,1,yes
2 BHK Flat,2.8,Powai,1200,23330.0,new construction,Middle,Unfurnished,2,1,0,yes
1 BHK Flat,1.2,Kanjurmarg West,489,24540.0,new construction,Middle,Semi Furnished,1,2,0,yes
4 BHK Flat,11.0,Lower Parel,2259,48690.0,recent construction,Lower,Unfurnished,4,3,3,yes
1 BHK Flat,0.66,Mira Road East,550,12000.0,new construction,Middle,Semi Furnished,1,1,1,yes
2 BHK Flat,2.38,Borivali East,890,26740.0,new construction,Middle,Unfurnished,2,2,2,yes
3 BHK Flat,2.15,Malad West,1300,16540.0,new construction,Lower,Unfurnished,3,3,0,yes
2 BHK Flat,2.0,Mulund West,796,25130.0,new construction,Middle,Semi Furnished,2,2,1,yes
